RI,table,variable,type
ACTRIS,actris-in-situ,ethyne_ExpUnc2s,double
ACTRIS,actris-in-situ,ethyne_precision,double
ACTRIS,actris-in-situ,isoprene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,isoprene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,isoprene_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,isoprene_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,isoprene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,isoprene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-butane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-butane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-butane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,n-butane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,n-butane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-butane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-pentane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-pentane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-pentane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,n-pentane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,n-pentane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-pentane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,propane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,propane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,propane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,propane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,propane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,propane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,chrysene,double
ACTRIS,actris-in-situ,benzo_bjk_fluoranthenes,double
ACTRIS,actris-in-situ,PCB_130+176,double
ACTRIS,actris-in-situ,PCB_134,double
ACTRIS,actris-in-situ,PCB_17,double
ACTRIS,actris-in-situ,PCB_170,double
ACTRIS,actris-in-situ,PCB_178+129,double
ACTRIS,actris-in-situ,PCB_187,double
ACTRIS,actris-in-situ,PCB_195,double
ACTRIS,actris-in-situ,PCB_200,double
ACTRIS,actris-in-situ,PCB_33,double
ACTRIS,actris-in-situ,PCB_41+71,double
ACTRIS,actris-in-situ,PCB_47,double
ACTRIS,actris-in-situ,PCB_87,double
ACTRIS,actris-in-situ,endosulfan,double
ACTRIS,actris-in-situ,BEHTBP,double
ACTRIS,actris-in-situ,BDE_47,double
ACTRIS,actris-in-situ,1-methylnaphthalene,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient,double
ACTRIS,actris-in-situ,DBDPE,double
ACTRIS,actris-in-situ,EHTBB,double
ACTRIS,actris-in-situ,HBB,double
ACTRIS,actris-in-situ,PBT,double
ACTRIS,actris-in-situ,anti_DP,double
ACTRIS,actris-in-situ,syn_DP,double
ACTRIS,actris-in-situ,23478_PeCDF,double
ACTRIS,actris-in-situ,1-2-3-4-tetrachlorobenzene,double
ACTRIS,actris-in-situ,123678_HxCDD,double
ACTRIS,actris-in-situ,benzo_bj_fluoranthenes,double
ACTRIS,actris-in-situ,UVA_radiation,double
ACTRIS,actris-in-situ,phosphate,double
ACTRIS,actris-in-situ,NOx,double
ACTRIS,actris-in-situ,pentenes,double
ACTRIS,actris-in-situ,PCB_70+60,double
ACTRIS,actris-in-situ,BDE_206,double
ACTRIS,actris-in-situ,aldrin,double
ACTRIS,actris-in-situ,endrin,double
ACTRIS,actris-in-situ,heptachlor,double
ACTRIS,actris-in-situ,op_DDD,double
ACTRIS,actris-in-situ,elemental_carbon_ExpUnc2s,double
ACTRIS,actris-in-situ,organic_carbon_ExpUnc2s,double
ACTRIS,actris-in-situ,total_carbon_ExpUnc2s,double
ACTRIS,actris-in-situ,methoxychlor,double
ACTRIS,actris-in-situ,BDE_85,double
ACTRIS,actris-in-situ,cis-2-pentene_ng_per_m3,double
ACTRIS,actris-in-situ,cis-2-pentene_pmol_per_mol,double
ACTRIS,actris-in-situ,voc_complete,double
ACTRIS,actris-in-situ,benzo_ghi_perylene,double
ACTRIS,actris-in-situ,chrysene_triphenylene,double
ACTRIS,actris-in-situ,op_DDE,double
ACTRIS,actris-in-situ,aerosol_optical_depth_amean,double
ACTRIS,actris-in-situ,aerosol_optical_depth_median,double
ACTRIS,actris-in-situ,aerosol_optical_depth_stddev,double
ACTRIS,actris-in-situ,pm1_mass_amean,double
ACTRIS,actris-in-situ,pm1_mass_det_lim,double
ACTRIS,actris-in-situ,BDE_66,double
ACTRIS,actris-in-situ,carbon_monoxide,double
ACTRIS,actris-in-situ,5-methylchrysene,double
ACTRIS,actris-in-situ,anthanthrene,double
ACTRIS,actris-in-situ,benzo_c_phenanthrene,double
ACTRIS,actris-in-situ,benzo_e_pyrene,double
ACTRIS,actris-in-situ,cholanthrene,double
ACTRIS,actris-in-situ,coronene,double
ACTRIS,actris-in-situ,cyclopenta_cd_pyrene,double
ACTRIS,actris-in-situ,dibenzo_ac_anthracene,double
ACTRIS,actris-in-situ,dibenzo_ae_pyrene,double
ACTRIS,actris-in-situ,dibenzo_ah_pyrene,double
ACTRIS,actris-in-situ,dibenzo_ai_pyrene,double
ACTRIS,actris-in-situ,dibenzo_al_pyrene,double
ACTRIS,actris-in-situ,perylene,double
ACTRIS,actris-in-situ,BTBPE,double
ACTRIS,actris-in-situ,particle_number_concentration,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_prec1587,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_prec1587,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_perc8413,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_perc8413,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_stddev,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_stddev,double
ACTRIS,actris-in-situ,PBBA,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_uncertainty,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_uncertainty,double
ACTRIS,actris-in-situ,elemental_carbon,double
ACTRIS,actris-in-situ,organic_carbon,double
ACTRIS,actris-in-situ,total_carbon,double
ACTRIS,actris-in-situ,1-methylphenanthrene,double
ACTRIS,actris-in-situ,2-methylanthracene,double
ACTRIS,actris-in-situ,2-methylnaphthalene,double
ACTRIS,actris-in-situ,2-methylphenanthrene,double
ACTRIS,actris-in-situ,3-methylphenanthrene,double
ACTRIS,actris-in-situ,9-methylphenanthrene,double
ACTRIS,actris-in-situ,benzo_a_fluoranthene,double
ACTRIS,actris-in-situ,benzo_a_fluorene,double
ACTRIS,actris-in-situ,benzo_b_fluorene,double
ACTRIS,actris-in-situ,benzo_ghi_fluoranthene,double
ACTRIS,actris-in-situ,biphenyl,double
ACTRIS,actris-in-situ,dibenzo_ac_ah_anthracenes,double
ACTRIS,actris-in-situ,dibenzofuran,double
ACTRIS,actris-in-situ,dibenzothiophene,double
ACTRIS,actris-in-situ,retene,double
ACTRIS,actris-in-situ,triphenylene,double
ACTRIS,actris-in-situ,sample_count,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_precision,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_precision,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_precision,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_precision,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_precision,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_precision,double
ACTRIS,actris-in-situ,barium,double
ACTRIS,actris-in-situ,bismuth,double
ACTRIS,actris-in-situ,cerium,double
ACTRIS,actris-in-situ,lanthanum,double
ACTRIS,actris-in-situ,lithium,double
